央 视,#genre#
华阴2台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225857/index.m3u8
合阳1台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225858/index.m3u8
合阳2台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225859/index.m3u8
岚皋电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225861/index.m3u8
西乡电视台-1,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225862/index.m3u8
蓝田电视台-1,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225864/index.m3u8
蓝田电视台-2,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225865/index.m3u8
周至电视台-1,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225867/index.m3u8
凤县电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225868/index.m3u8
陈仓电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225869/index.m3u8
麟游电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225870/index.m3u8
洋县电视台-1,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225871/index.m3u8
定边电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225873/index.m3u8
韩城综合,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225874/index.m3u8
旬阳新闻综合,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225878/index.m3u8
石泉电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225879/index.m3u8
勉县电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225880/index.m3u8
宁强1台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225881/index.m3u8
南郑电视台-1,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225882/index.m3u8
镇巴电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225883/index.m3u8
耀州电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225884/index.m3u8
